Fecha,Hora,PML MDA CELAYA,PML MTR CELAYA,PML MDA RAMOS,PML MTR RAMOS,PML MDA SALTILLO,PML MTR SALTILLO,NOM CELAYA,CON CELAYA,NOM RAMOS,CON RAMOS,NOM SALTILLO,CON SALTILLO
2022-08-01,1,1460.96,1378.46,1490.66,1367.28,1495.11,1372,171.309,156.8548123,97.5,95.08626,11.75,9.632
2022-08-01,2,1446.18,1408.64,1462.27,1389.57,1466.64,1393.67,169.136,154.8659839,96.1,94.503,11.74,9.31
2022-08-01,3,1432.84,1403.85,1439.35,1378.53,1443.95,1383.43,147.264,166.7888799,96.2,107.43032,11.86,9.084
2022-08-01,4,1432.31,1387.27,1435.52,1363.78,1441.11,1369.52,146.695,149.726676,94.3,114.65114,11.49,9.277
2022-08-01,5,1426.85,1355.97,1428.72,1337.19,1435.12,1343.72,143.895,151.1598416,94,84.71968,11.78,9.287
2022-08-01,6,1414.13,1357.41,1412.6,1336.57,1419.85,1344.2,146.075,154.1667736,95.9,94.10784,11.91,9.877
2022-08-01,7,1441.22,1368.12,1431.18,1345.54,1439.64,1355.12,144.598,146.9134424,97.1,77.7929,11.78,9.761
2022-08-01,8,1463.33,1373.42,1452.36,1344.23,1462.69,1355.82,143.771,127.5791542,91.2,86.20124,10.53,8.367
2022-08-01,9,1487.87,1416.38,1467.79,1372.24,1478.73,1384.98,145.371,151.7401811,90.5,90.68442,9.83,7.783
2022-08-01,10,1470.25,1409.35,1407.88,1369.7,1419.41,1382.19,146.741,141.0240061,94.8,86.75846,11.28,8.894
2022-08-01,11,1449.81,1418.61,1388.05,1373.28,1399.99,1386.04,146.195,133.324744,93.5,25.41194,11.29,9.063
2022-08-01,12,1448.56,1411.68,1400.82,1359.35,1412.48,1372.79,144.716,143.2971188,94.1,21.98172,11.23,9.566
2022-08-01,13,1476.09,1430.25,1419.66,1369.55,1431.44,1384.45,146.956,149.8549227,93.3,23.4506,11.19,9.297
2022-08-01,14,1465.77,1443.76,1412.28,1396.71,1423.64,1410.63,149.391,113.050403,91.2,93.72454,11.32,9.524
2022-08-01,15,1481.15,1452.91,1426.94,1409.68,1438.12,1422.69,168.525,117.0860184,94.5,86.09094,11.24,9.61
2022-08-01,16,1489.26,1522.68,1446.38,1474.22,1457.01,1486.91,170.01,154.9237099,93.4,77.05376,11.1,9.375
